Rad = 05,00 Teff = 3560,0
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,8387E009; NewMaxFlx = 1,4383
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,2939E009; NewMaxFlx = 1,6998
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,4211E009; NewMaxFlx = 1,9795
Rad = 45,00 Teff = 3860,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,5153E009; NewMaxFlx = 1,1817
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,8602E009; NewMaxFlx = 1,4217
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,3388E009; NewMaxFlx = 1,6770
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,4542E009; NewMaxFlx = 1,9528
Rad = 45,00 Teff = 3960,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,5325E009; NewMaxFlx = 1,1684
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,8849E009; NewMaxFlx = 1,4030
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,3889E009; NewMaxFlx = 1,6522
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,4895E009; NewMaxFlx = 1,9251
Rad = 45,00 Teff = 4060,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,5540E009; NewMaxFlx = 1,1522
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,9140E009; NewMaxFlx = 1,3817
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,4453E009; NewMaxFlx = 1,6251
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,5276E009; NewMaxFlx = 1,8961
Rad = 45,00 Teff = 4160,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,5807E009; NewMaxFlx = 1,1328
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,9479E009; NewMaxFlx = 1,3577
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,5082E009; NewMaxFlx = 1,5960
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,5689E009; NewMaxFlx = 1,8657
Rad = 45,00 Teff = 4260,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,6135E009; NewMaxFlx = 1,1097
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,9873E009; NewMaxFlx = 1,3307
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,5773E009; NewMaxFlx = 1,5652
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,6134E009; NewMaxFlx = 1,8338
Rad = 45,00 Teff = 4360,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,6541E009; NewMaxFlx = 1,0825
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,0333E009; NewMaxFlx = 1,3006
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,6532E009; NewMaxFlx = 1,5326
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,6619E009; NewMaxFlx = 1,8004
Rad = 45,00 Teff = 4460,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7029E009; NewMaxFlx = 1,0515
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,0861E009; NewMaxFlx = 1,2677
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,7357E009; NewMaxFlx = 1,4988
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7139E009; NewMaxFlx = 1,7660
Rad = 55,00 Teff = 3560,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,2941E009; NewMaxFlx = 1,3836
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,5932E009; NewMaxFlx = 1,6599
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 2,8663E009; NewMaxFlx = 1,9533
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,1328E009; NewMaxFlx = 2,2471
Rad = 55,00 Teff = 3660,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,3098E009; NewMaxFlx = 1,3670
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,6188E009; NewMaxFlx = 1,6337
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 2,9214E009; NewMaxFlx = 1,9165
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,1768E009; NewMaxFlx = 2,2016
Rad = 55,00 Teff = 3760,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,3278E009; NewMaxFlx = 1,3485
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,6473E009; NewMaxFlx = 1,6054
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 2,9816E009; NewMaxFlx = 1,8778
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,2231E009; NewMaxFlx = 2,1559
Rad = 55,00 Teff = 3860,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,3493E009; NewMaxFlx = 1,3270
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,6797E009; NewMaxFlx = 1,5745
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,0489E009; NewMaxFlx = 1,8364
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,2723E009; NewMaxFlx = 2,1092
Rad = 55,00 Teff = 3960,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,3759E009; NewMaxFlx = 1,3014
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,7174E009; NewMaxFlx = 1,5399
